loss:0.007478983821019938, accuracy:0.9972057342529297, recall:0.9870195388793945, precision:0.9871930480003357
loss:0.006715871099804645, accuracy:0.9975775480270386, recall:0.9891413450241089, precision:0.9891799092292786
loss:0.0056309325708662076, accuracy:0.9976862072944641, recall:0.9889227151870728, precision:0.9901652336120605
loss:0.006245390414933354, accuracy:0.9977090358734131, recall:0.9893717169761658, precision:0.9910488128662109
loss:0.006495478251927125, accuracy:0.9976809620857239, recall:0.9897502660751343, precision:0.9898808598518372
loss:0.008694214208280754, accuracy:0.9976728558540344, recall:0.9908824563026428, precision:0.9891524910926819
loss:0.006110279731274204, accuracy:0.9979603886604309, recall:0.991226077079773, precision:0.9923334121704102
loss:0.0074981801019021075, accuracy:0.9971981644630432, recall:0.9872362017631531, precision:0.9879843592643738
loss:0.00553115226749469, accuracy:0.9984065890312195, recall:0.9929271340370178, precision:0.9928614497184753
loss:0.005550075248211214, accuracy:0.9978617429733276, recall:0.9907308220863342, precision:0.990884006023407
loss:0.00571826676584351, accuracy:0.9979959726333618, recall:0.9911755323410034, precision:0.9912791848182678
loss:0.009362613765097194, accuracy:0.9969340562820435, recall:0.9866723418235779, precision:0.9866212010383606
loss:0.006575906262769422, accuracy:0.997534990310669, recall:0.9887709617614746, precision:0.9880304336547852
loss:0.00601856824800052, accuracy:0.9974545836448669, recall:0.9893225431442261, precision:0.9887025356292725
loss:0.006527740546080168, accuracy:0.9979471564292908, recall:0.9909927845001221, precision:0.9908320903778076
loss:0.006860382272925562, accuracy:0.997525155544281, recall:0.9882319569587708, precision:0.988764226436615
loss:0.008046278970359708, accuracy:0.9975956678390503, recall:0.9901366829872131, precision:0.9891330599784851
loss:0.005386057330870244, accuracy:0.9978222250938416, recall:0.9907178282737732, precision:0.9904938340187073
loss:0.006654936545637611, accuracy:0.9975880980491638, recall:0.9895188212394714, precision:0.989346444606781
loss:0.006741093094005919, accuracy:0.997538685798645, recall:0.9899113774299622, precision:0.9888132810592651
loss:0.005724268073281564, accuracy:0.997892439365387, recall:0.9902825951576233, precision:0.9902623295783997
loss:0.0075546001372276805, accuracy:0.9971777200698853, recall:0.987179160118103, precision:0.9880253672599792
loss:0.008503153525361995, accuracy:0.9973753690719604, recall:0.9899717569351196, precision:0.9872903823852539
loss:0.008007573144441267, accuracy:0.9974762797355652, recall:0.9883617162704468, precision:0.989756166934967
loss:0.006400090451634242, accuracy:0.9976515769958496, recall:0.9898958206176758, precision:0.9890758991241455
loss:0.007198595228273917, accuracy:0.9971275329589844, recall:0.9885476231575012, precision:0.98659747838974
loss:0.005142913416402734, accuracy:0.9982807040214539, recall:0.9920444488525391, precision:0.9920674562454224
loss:0.005347662354397471, accuracy:0.9980016350746155, recall:0.9912324547767639, precision:0.9913033843040466
loss:0.005987037790973772, accuracy:0.9978456497192383, recall:0.9906385540962219, precision:0.990313708782196
loss:0.010048689089053368, accuracy:0.996836245059967, recall:0.985815703868866, precision:0.9856138229370117
loss:0.0068152523838580234, accuracy:0.9976601004600525, recall:0.9898664355278015, precision:0.9897704720497131
loss:0.00669955570530874, accuracy:0.997264564037323, recall:0.9873943328857422, precision:0.9883020520210266
loss:0.006429240935303824, accuracy:0.9975845813751221, recall:0.9905747771263123, precision:0.9885387420654297
loss:0.006168268031087791, accuracy:0.997898519039154, recall:0.9904492497444153, precision:0.9910524487495422
loss:0.006752687597254408, accuracy:0.9976722002029419, recall:0.9890854954719543, precision:0.9897679090499878
loss:0.006856759539041377, accuracy:0.9977933764457703, recall:0.9907241463661194, precision:0.9902365803718567
loss:0.006707706824709021, accuracy:0.9977957606315613, recall:0.990818440914154, precision:0.9903501868247986
loss:0.005776112809126061, accuracy:0.99791020154953, recall:0.9915578961372375, precision:0.990458607673645
loss:0.006983864921112399, accuracy:0.9976270198822021, recall:0.98985356092453, precision:0.9889331459999084
loss:0.006651133349469092, accuracy:0.9972651600837708, recall:0.9884192943572998, precision:0.9873000383377075
loss:0.006519778142846917, accuracy:0.9974995851516724, recall:0.9882041811943054, precision:0.9887790679931641
loss:0.00442741989827482, accuracy:0.9986338019371033, recall:0.9947278499603271, precision:0.9930499792098999
loss:0.0060170552075760496, accuracy:0.9975088834762573, recall:0.9889774322509766, precision:0.9879153966903687
loss:0.005905399564107938, accuracy:0.997891366481781, recall:0.991405189037323, precision:0.990465521812439
loss:0.006800223441650814, accuracy:0.9978428483009338, recall:0.9911936521530151, precision:0.9914000630378723
loss:0.0064378706814204635, accuracy:0.9978769421577454, recall:0.9898009300231934, precision:0.9909542798995972
loss:0.005667561891441437, accuracy:0.9981077909469604, recall:0.9913644790649414, precision:0.991165280342102
loss:0.006975728141833315, accuracy:0.9973471760749817, recall:0.98934406042099, precision:0.9869260191917419
loss:0.006325276243042026, accuracy:0.9979905486106873, recall:0.9905287027359009, precision:0.9912183880805969
loss:0.005512581797829625, accuracy:0.9978077411651611, recall:0.98963463306427, precision:0.990578830242157
loss:0.007090228058550565, accuracy:0.9979085922241211, recall:0.990811288356781, precision:0.9914469718933105
loss:0.0064844497184003555, accuracy:0.9983033537864685, recall:0.9923125505447388, precision:0.9918822050094604
loss:0.004186317474323005, accuracy:0.9985671043395996, recall:0.9943795800209045, precision:0.9932178258895874
loss:0.007540640779789101, accuracy:0.9976704716682434, recall:0.9898134469985962, precision:0.9894671440124512
loss:0.007322641586861209, accuracy:0.9976601004600525, recall:0.9892585277557373, precision:0.9903630614280701
loss:0.00820585726731224, accuracy:0.9966565370559692, recall:0.9858734011650085, precision:0.9868769645690918
loss:0.00610722255303699, accuracy:0.9979498982429504, recall:0.9915125966072083, precision:0.9913245439529419
loss:0.006068678903593536, accuracy:0.9977917075157166, recall:0.9904798865318298, precision:0.9901114702224731
loss:0.004999422916462208, accuracy:0.9983522295951843, recall:0.9921393990516663, precision:0.9935380220413208
loss:0.008389802046731348, accuracy:0.9969303011894226, recall:0.9869880676269531, precision:0.9865235686302185
loss:0.00675055847643307, accuracy:0.9981218576431274, recall:0.9917129874229431, precision:0.9917205572128296
loss:0.00738673281031879, accuracy:0.9975610971450806, recall:0.9883867502212524, precision:0.9893894791603088
loss:0.008217285340979288, accuracy:0.9974744915962219, recall:0.9890598058700562, precision:0.9892129302024841
loss:0.007385399966206023, accuracy:0.9970760345458984, recall:0.9875785112380981, precision:0.986508309841156
loss:0.008249617839328493, accuracy:0.9972006678581238, recall:0.9879518151283264, precision:0.9877955317497253
loss:0.00581015832376579, accuracy:0.9979127049446106, recall:0.9902274012565613, precision:0.9910091161727905
loss:0.005236073191072137, accuracy:0.9980305433273315, recall:0.9914232492446899, precision:0.9914748072624207
loss:0.0048077278243818, accuracy:0.9980545043945312, recall:0.9908913373947144, precision:0.9920404553413391
loss:0.010195437203901748, accuracy:0.9968342185020447, recall:0.9862409234046936, precision:0.9853982329368591
loss:0.006068739406737222, accuracy:0.9979883432388306, recall:0.9913581609725952, precision:0.9903156757354736
loss:0.006675573204884131, accuracy:0.9978004097938538, recall:0.9908370971679688, precision:0.9901772141456604
loss:0.005947296467193155, accuracy:0.9980024695396423, recall:0.991917073726654, precision:0.9909960031509399
loss:0.007318378417348868, accuracy:0.9979962706565857, recall:0.9925887584686279, precision:0.9897696375846863
loss:0.004844531371618359, accuracy:0.9983846545219421, recall:0.9925656914710999, precision:0.993498682975769
loss:0.005598551172115549, accuracy:0.9982396364212036, recall:0.9921578764915466, precision:0.9926127195358276
loss:0.005640278324517567, accuracy:0.9981409311294556, recall:0.9918022155761719, precision:0.9921701550483704
loss:0.0069990829647485955, accuracy:0.9971910119056702, recall:0.987106442451477, precision:0.9878212809562683
loss:0.007420927188732094, accuracy:0.9976955056190491, recall:0.9901902675628662, precision:0.9892330169677734
loss:0.007817899347064667, accuracy:0.9970788955688477, recall:0.988139808177948, precision:0.9870502948760986
loss:0.006744259092956781, accuracy:0.997501790523529, recall:0.9891382455825806, precision:0.9879730939865112
loss:0.006031097186951229, accuracy:0.9981280565261841, recall:0.9916501641273499, precision:0.9920651316642761
loss:0.006119338680546207, accuracy:0.9977103471755981, recall:0.990010142326355, precision:0.9891322255134583
loss:0.0062882801963860405, accuracy:0.9976071119308472, recall:0.9908364415168762, precision:0.9887740612030029
loss:0.006765171621609624, accuracy:0.9974194765090942, recall:0.988309383392334, precision:0.9885681867599487
loss:0.006994640050215821, accuracy:0.9970653057098389, recall:0.9875211119651794, precision:0.9856178164482117
loss:0.00515798081381945, accuracy:0.9982736706733704, recall:0.9926819205284119, precision:0.9917890429496765
loss:0.005426846022182872, accuracy:0.9980649948120117, recall:0.9918157458305359, precision:0.9914290308952332
loss:0.005859232791744944, accuracy:0.9977415800094604, recall:0.991078794002533, precision:0.9902181625366211
loss:0.006212646453495836, accuracy:0.9979603886604309, recall:0.9912698864936829, precision:0.9908424019813538
loss:0.006910751951672864, accuracy:0.9976186752319336, recall:0.9889304637908936, precision:0.9905250072479248
loss:0.005100876604528821, accuracy:0.9984995126724243, recall:0.9936880469322205, precision:0.9935535192489624
loss:0.007033052417773434, accuracy:0.997647762298584, recall:0.9907285571098328, precision:0.9895303249359131
loss:0.005390789524144565, accuracy:0.9980994462966919, recall:0.9913058280944824, precision:0.9918422698974609
loss:0.006491489538220776, accuracy:0.9974792003631592, recall:0.9894551634788513, precision:0.9891180992126465
loss:0.006323743571265368, accuracy:0.9977123737335205, recall:0.9909818172454834, precision:0.9902199506759644
loss:0.008328249244168546, accuracy:0.9971029162406921, recall:0.9871128797531128, precision:0.9875203371047974
loss:0.007105154087657866, accuracy:0.9980769753456116, recall:0.9924243092536926, precision:0.9902911186218262
loss:0.0047131215171793885, accuracy:0.9984105229377747, recall:0.9921910762786865, precision:0.9928551912307739
loss:0.006202272663867916, accuracy:0.9979981780052185, recall:0.9902878999710083, precision:0.9917782545089722
loss:0.0070313737822289115, accuracy:0.9974614977836609, recall:0.9884189367294312, precision:0.9893120527267456
loss:0.008171262161486084, accuracy:0.9974390268325806, recall:0.9885860085487366, precision:0.9882562160491943
loss:0.007425663118538068, accuracy:0.9976620078086853, recall:0.9896636605262756, precision:0.9895666837692261
loss:0.005332508828378196, accuracy:0.9980944395065308, recall:0.9915057420730591, precision:0.9922304153442383
loss:0.007130527607650947, accuracy:0.9975728392601013, recall:0.9887434244155884, precision:0.9896218180656433
loss:0.005422032547871822, accuracy:0.998278021812439, recall:0.9930757880210876, precision:0.991913914680481
loss:0.005235638928434127, accuracy:0.9981587529182434, recall:0.9927874803543091, precision:0.9915619492530823
loss:0.005825377005967311, accuracy:0.9983022212982178, recall:0.9931537508964539, precision:0.9926692843437195
loss:0.004836842793965843, accuracy:0.9981713891029358, recall:0.9928074479103088, precision:0.9923176169395447
loss:0.005869277737092489, accuracy:0.9979630708694458, recall:0.9917384386062622, precision:0.990753710269928
loss:0.006446704390173181, accuracy:0.9978922605514526, recall:0.9896751046180725, precision:0.9919044971466064
loss:0.005277328253819178, accuracy:0.9980926513671875, recall:0.9924696683883667, precision:0.9919298887252808
loss:0.0063519749585429965, accuracy:0.9973967671394348, recall:0.9886391162872314, precision:0.988658607006073
loss:0.006368575261858495, accuracy:0.9977352023124695, recall:0.9893227815628052, precision:0.9897732138633728
loss:0.0057341772544714335, accuracy:0.997833251953125, recall:0.9893571734428406, precision:0.9902341961860657
loss:0.006552154146684188, accuracy:0.9978446960449219, recall:0.9904731512069702, precision:0.9906769394874573
loss:0.005138132779238731, accuracy:0.998218297958374, recall:0.9920271635055542, precision:0.9924148321151733
loss:0.00654237664844004, accuracy:0.9974755048751831, recall:0.9900197386741638, precision:0.9896689653396606
loss:0.006446032395756447, accuracy:0.9978001117706299, recall:0.9904341697692871, precision:0.9904820322990417
loss:0.007858070298789243, accuracy:0.9977954030036926, recall:0.9917684197425842, precision:0.9895941615104675
loss:0.006541873674159433, accuracy:0.9979239702224731, recall:0.9913888573646545, precision:0.990238606929779
loss:0.009305363805779052, accuracy:0.9974157214164734, recall:0.9882045388221741, precision:0.9893350005149841
loss:0.006435180756443515, accuracy:0.9979809522628784, recall:0.9919537305831909, precision:0.9909349083900452
loss:0.005170181895682618, accuracy:0.9981409907341003, recall:0.9921368956565857, precision:0.9920451045036316
loss:0.005332036387317203, accuracy:0.9981134533882141, recall:0.9918545484542847, precision:0.9919052124023438
loss:0.006616146097694581, accuracy:0.997654914855957, recall:0.9910401105880737, precision:0.9887829422950745
loss:0.008058429250977496, accuracy:0.9970390796661377, recall:0.9873656034469604, precision:0.9860724210739136
loss:0.005590402834704946, accuracy:0.9981125593185425, recall:0.9921618700027466, precision:0.9918085336685181
loss:0.006426957331477752, accuracy:0.9976807832717896, recall:0.9915068745613098, precision:0.9898993968963623
loss:0.006523872355610365, accuracy:0.9978903532028198, recall:0.990462064743042, precision:0.990752100944519
loss:0.00685271666623521, accuracy:0.9974469542503357, recall:0.9887078404426575, precision:0.9894706010818481
loss:0.007444730275892653, accuracy:0.997383177280426, recall:0.9894952178001404, precision:0.9884717464447021
loss:0.0049086453017844174, accuracy:0.9984050393104553, recall:0.9931471943855286, precision:0.9926804900169373
loss:0.006477030721816846, accuracy:0.9977885484695435, recall:0.9905649423599243, precision:0.9902234673500061
loss:0.005993992756675653, accuracy:0.9979289770126343, recall:0.9904820919036865, precision:0.9909113049507141
loss:0.006023318211518926, accuracy:0.9978150129318237, recall:0.9908789396286011, precision:0.9902734160423279
loss:0.0062497501270900105, accuracy:0.9976602792739868, recall:0.9888316988945007, precision:0.9904221296310425
loss:0.005953693388310057, accuracy:0.9977368712425232, recall:0.9898120760917664, precision:0.9900986552238464
loss:0.004396910201485298, accuracy:0.998532772064209, recall:0.9925884008407593, precision:0.9943127036094666
loss:0.0077041071585517784, accuracy:0.9970441460609436, recall:0.9868153929710388, precision:0.9888028502464294
loss:0.006813184894672304, accuracy:0.9977311491966248, recall:0.9897050857543945, precision:0.9900168180465698
loss:0.00708569412227007, accuracy:0.997613787651062, recall:0.9897606372833252, precision:0.9892094731330872
loss:0.0070031844141158215, accuracy:0.9976749420166016, recall:0.9903202056884766, precision:0.9890658855438232
loss:0.008063332483434351, accuracy:0.997372567653656, recall:0.9890681505203247, precision:0.9887492656707764
loss:0.006536920718990587, accuracy:0.9977101683616638, recall:0.9906240701675415, precision:0.9898929595947266
loss:0.006515348942157289, accuracy:0.9978188872337341, recall:0.9913775324821472, precision:0.9904248714447021
loss:0.0066682899474835725, accuracy:0.9974719882011414, recall:0.9892039895057678, precision:0.9882850646972656
loss:0.007019336493522132, accuracy:0.9974671006202698, recall:0.9888142347335815, precision:0.9879973530769348
loss:0.007656432102812687, accuracy:0.9972323179244995, recall:0.9871241450309753, precision:0.987966001033783
loss:0.006794258951158554, accuracy:0.9977572560310364, recall:0.9901583790779114, precision:0.9900438189506531
loss:0.005118180701429082, accuracy:0.9980893731117249, recall:0.9918811321258545, precision:0.9913909435272217
loss:0.005396091148504638, accuracy:0.9977701902389526, recall:0.989484965801239, precision:0.9899882078170776
loss:0.007440040691944887, accuracy:0.99773770570755, recall:0.9894631505012512, precision:0.9903486967086792
loss:0.004857125968874243, accuracy:0.9982419610023499, recall:0.9922270178794861, precision:0.9922701120376587
loss:0.005989809370867079, accuracy:0.9978252053260803, recall:0.9889454245567322, precision:0.9911627173423767
loss:0.005651379173286841, accuracy:0.9982297420501709, recall:0.9927418231964111, precision:0.9924361109733582
loss:0.007604668407966528, accuracy:0.9971176981925964, recall:0.9886953234672546, precision:0.9879138469696045
loss:0.005660963352747786, accuracy:0.9981595277786255, recall:0.9921720623970032, precision:0.9920921921730042
loss:0.006392256242361327, accuracy:0.9980534911155701, recall:0.9917140007019043, precision:0.9901432394981384
loss:0.005520929667763994, accuracy:0.9980106949806213, recall:0.9913642406463623, precision:0.991421639919281
loss:0.004572852636456446, accuracy:0.9984046220779419, recall:0.9931771159172058, precision:0.9925094246864319
loss:0.0069228067138010375, accuracy:0.9973941445350647, recall:0.9882698655128479, precision:0.9898337125778198
loss:0.005672447449442188, accuracy:0.9979221224784851, recall:0.9909293055534363, precision:0.9904525279998779
loss:0.007963195562060718, accuracy:0.9967134594917297, recall:0.9858017563819885, precision:0.9847281575202942
loss:0.007426296720859682, accuracy:0.997491180896759, recall:0.9876717329025269, precision:0.9891619086265564
loss:0.005913472730671856, accuracy:0.9978573322296143, recall:0.9915353059768677, precision:0.9905077219009399
loss:0.006516628331019092, accuracy:0.9980748295783997, recall:0.9914540648460388, precision:0.9916797280311584
loss:0.004916958837711718, accuracy:0.9981563091278076, recall:0.9929420351982117, precision:0.9907175302505493
loss:0.005271754835421234, accuracy:0.9980397820472717, recall:0.9907543063163757, precision:0.9918590188026428
loss:0.005834670856984303, accuracy:0.99785977602005, recall:0.9909155964851379, precision:0.9906147718429565
loss:0.005766051088758104, accuracy:0.997823178768158, recall:0.9907821416854858, precision:0.9902034401893616
loss:0.006825051838395666, accuracy:0.997402012348175, recall:0.9886534810066223, precision:0.9891390204429626
loss:0.005774416834424301, accuracy:0.9978922605514526, recall:0.9909042716026306, precision:0.9907505512237549
loss:0.0068882913596462455, accuracy:0.9973928332328796, recall:0.9886191487312317, precision:0.9880286455154419
loss:0.004092469983206683, accuracy:0.998630940914154, recall:0.9931445121765137, precision:0.9940892457962036
loss:0.007599110602241126, accuracy:0.9974316954612732, recall:0.9880859851837158, precision:0.9898208379745483
loss:0.006420168813874625, accuracy:0.9973056316375732, recall:0.989476203918457, precision:0.9877965450286865
loss:0.006698169878463886, accuracy:0.9976853728294373, recall:0.9888928532600403, precision:0.9907493591308594
loss:0.005816350297427561, accuracy:0.9980283975601196, recall:0.9910640716552734, precision:0.9912264943122864
loss:0.0066578208437022115, accuracy:0.9975557327270508, recall:0.9898488521575928, precision:0.9889295697212219
loss:0.006621442220621248, accuracy:0.9976350665092468, recall:0.9900876879692078, precision:0.9898093342781067
loss:0.005273994407962164, accuracy:0.9982028007507324, recall:0.9921256899833679, precision:0.9922999143600464
loss:0.005270176497215289, accuracy:0.9983125925064087, recall:0.9917665719985962, precision:0.9920377135276794
loss:0.0052010500294636585, accuracy:0.9984684586524963, recall:0.9935237765312195, precision:0.9933316707611084
loss:0.005540413412763883, accuracy:0.9980666041374207, recall:0.9925370812416077, precision:0.9913899898529053
loss:0.004249040925960798, accuracy:0.9986357688903809, recall:0.9940747618675232, precision:0.9934331178665161
loss:0.007640011525181762, accuracy:0.9971403479576111, recall:0.9881068468093872, precision:0.9872560501098633
loss:0.006791475777954474, accuracy:0.9975668787956238, recall:0.9892178177833557, precision:0.9902940988540649
loss:0.006157636118068695, accuracy:0.9978606700897217, recall:0.9913660883903503, precision:0.9892287850379944
loss:0.004997748321084145, accuracy:0.9981208443641663, recall:0.9923913478851318, precision:0.9912663102149963
loss:0.005868869206137788, accuracy:0.9979608654975891, recall:0.9910753965377808, precision:0.9907328486442566
loss:0.004533200029254658, accuracy:0.998619794845581, recall:0.9934155344963074, precision:0.9945515990257263
loss:0.00793640851820328, accuracy:0.997402548789978, recall:0.9890366792678833, precision:0.9885213375091553
loss:0.005826864676228069, accuracy:0.9980379939079285, recall:0.9913203716278076, precision:0.9914522171020508
loss:0.006753911149235137, accuracy:0.9979313611984253, recall:0.9915221333503723, precision:0.9909240007400513
loss:0.00690232766297413, accuracy:0.9972413182258606, recall:0.9881752729415894, precision:0.9877837896347046
loss:0.008325813415103767, accuracy:0.9966295957565308, recall:0.9852126240730286, precision:0.9855434894561768
loss:0.005020427132694749, accuracy:0.9979537725448608, recall:0.9901700615882874, precision:0.9904778003692627
loss:0.005706738507005866, accuracy:0.9980774521827698, recall:0.9917895197868347, precision:0.9912905693054199
loss:0.005210876409396405, accuracy:0.9979897737503052, recall:0.9918461441993713, precision:0.9908504486083984
loss:0.005685509814129546, accuracy:0.997721791267395, recall:0.9892101287841797, precision:0.9897589087486267
loss:0.0065097947914182445, accuracy:0.9975347518920898, recall:0.9888211488723755, precision:0.9893927574157715
loss:0.0052638855358964065, accuracy:0.9981709122657776, recall:0.9917985796928406, precision:0.9920368790626526
loss:0.006783037163131667, accuracy:0.9976153373718262, recall:0.9898867011070251, precision:0.9890319108963013
loss:0.006190215401602472, accuracy:0.9977340698242188, recall:0.9901394248008728, precision:0.9894788265228271
loss:0.008777445371579233, accuracy:0.9972005486488342, recall:0.988200306892395, precision:0.987372100353241
loss:0.006208126222827559, accuracy:0.9978463649749756, recall:0.9910804033279419, precision:0.9902249574661255
loss:0.00537117374366062, accuracy:0.9979128241539001, recall:0.9911211133003235, precision:0.9915929436683655
loss:0.006244409461387477, accuracy:0.9976165294647217, recall:0.9902563095092773, precision:0.9888185858726501
loss:0.004341797213955942, accuracy:0.9984391331672668, recall:0.9930338859558105, precision:0.9938281774520874
loss:0.007723948576194743, accuracy:0.9973412156105042, recall:0.9881669282913208, precision:0.9886881113052368
loss:0.005383614888587545, accuracy:0.9980512261390686, recall:0.9922916889190674, precision:0.9911274313926697
loss:0.005005380162801884, accuracy:0.9982291460037231, recall:0.9925374984741211, precision:0.991754949092865
loss:0.0079175191934155, accuracy:0.998027503490448, recall:0.9927077889442444, precision:0.9897810220718384
loss:0.006090459653269136, accuracy:0.9979128837585449, recall:0.9910100102424622, precision:0.991002082824707
loss:0.007546033705184527, accuracy:0.9978550672531128, recall:0.9908581972122192, precision:0.9900256991386414
loss:0.005000551140601601, accuracy:0.9980581402778625, recall:0.9899909496307373, precision:0.992279589176178
loss:0.006647866129414978, accuracy:0.9979518055915833, recall:0.9904078245162964, precision:0.9897251725196838
loss:0.006618187874955765, accuracy:0.9973266124725342, recall:0.9874346852302551, precision:0.9876778721809387
loss:0.004926139131930541, accuracy:0.9983576536178589, recall:0.9928892850875854, precision:0.9932174682617188
loss:0.0073697100676508856, accuracy:0.9972082376480103, recall:0.9874631762504578, precision:0.9872785210609436
loss:0.0047154374154524704, accuracy:0.9982032775878906, recall:0.9926068186759949, precision:0.9916096925735474
loss:0.007193017827112271, accuracy:0.9973625540733337, recall:0.9874851703643799, precision:0.9877833127975464
loss:0.00622182983638595, accuracy:0.9980584979057312, recall:0.9921213388442993, precision:0.9913966655731201
loss:0.0066750387134379705, accuracy:0.9978703260421753, recall:0.990211009979248, precision:0.9910244345664978
loss:0.006513133119133272, accuracy:0.9977583885192871, recall:0.9910873770713806, precision:0.9896270036697388
loss:0.005573832373247569, accuracy:0.9979128837585449, recall:0.9910491704940796, precision:0.9910014271736145
loss:0.006045640915090189, accuracy:0.9975078105926514, recall:0.9889732003211975, precision:0.9877316951751709
loss:0.005759242215017366, accuracy:0.9980775117874146, recall:0.9920833110809326, precision:0.9915886521339417
loss:0.005172977797628846, accuracy:0.9980384111404419, recall:0.992058515548706, precision:0.9913458228111267
loss:0.0075314154399166, accuracy:0.9971898198127747, recall:0.9879778027534485, precision:0.9875124096870422
loss:0.0059632534926640805, accuracy:0.9982088208198547, recall:0.9925621747970581, precision:0.9927584528923035
loss:0.006966324330514908, accuracy:0.9975335597991943, recall:0.9892725944519043, precision:0.9894440770149231
loss:0.006783061652095057, accuracy:0.9973798394203186, recall:0.9877505898475647, precision:0.9888659715652466
loss:0.007083351590845268, accuracy:0.9973270893096924, recall:0.9874813556671143, precision:0.9871560335159302
loss:0.006625810389978142, accuracy:0.9981074929237366, recall:0.9918023943901062, precision:0.9914518594741821
loss:0.005590783922471019, accuracy:0.9975607991218567, recall:0.988994300365448, precision:0.9891241788864136
loss:0.0068150416428397875, accuracy:0.9981700778007507, recall:0.9923507571220398, precision:0.9913906455039978
loss:0.007830340677410277, accuracy:0.9975468516349792, recall:0.989617109298706, precision:0.9878731369972229
loss:0.007694518476528174, accuracy:0.9968227744102478, recall:0.9869509935379028, precision:0.9863158464431763
loss:0.006077810551232687, accuracy:0.9977055788040161, recall:0.9899865388870239, precision:0.9898350238800049
loss:0.00702245253079127, accuracy:0.9974325895309448, recall:0.988288164138794, precision:0.9883219599723816
loss:0.006357652450042224, accuracy:0.9974979162216187, recall:0.9889981746673584, precision:0.9892610907554626
loss:0.007421219407042372, accuracy:0.9970157146453857, recall:0.9870029091835022, precision:0.9859753847122192
loss:0.008071720366588124, accuracy:0.997389554977417, recall:0.9882441759109497, precision:0.9895472526550293
loss:0.006689188266227575, accuracy:0.9976848363876343, recall:0.988876223564148, precision:0.9893910884857178
loss:0.006542460669115826, accuracy:0.9975501298904419, recall:0.9903610944747925, precision:0.9887820482254028
loss:0.006123785362433409, accuracy:0.9978439211845398, recall:0.9894284605979919, precision:0.9903519749641418
loss:0.007008924118836148, accuracy:0.9978164434432983, recall:0.9902973175048828, precision:0.9906622171401978
loss:0.004741965958000947, accuracy:0.9980216026306152, recall:0.991422712802887, precision:0.9914122819900513
loss:0.006514597061814129, accuracy:0.9976785778999329, recall:0.9897502064704895, precision:0.9891486763954163
loss:0.006523034102792735, accuracy:0.9976344704627991, recall:0.9904071688652039, precision:0.9899386167526245
loss:0.006932095629399555, accuracy:0.9976832866668701, recall:0.9882840514183044, precision:0.9896984100341797
loss:0.007408791049238061, accuracy:0.9972107410430908, recall:0.9874512553215027, precision:0.987676203250885
loss:0.005898206812162243, accuracy:0.9978584051132202, recall:0.9911995530128479, precision:0.9906461238861084
loss:0.004831597661232081, accuracy:0.9984084367752075, recall:0.9927432537078857, precision:0.9934147596359253
loss:0.006181940637925436, accuracy:0.9978652000427246, recall:0.9904030561447144, precision:0.9906354546546936
loss:0.0063423314096507965, accuracy:0.9976319074630737, recall:0.9899169206619263, precision:0.9902000427246094
loss:0.00555957309778023, accuracy:0.9978423714637756, recall:0.9917189478874207, precision:0.9903478026390076
